Timestamp, Electrode 1, Electrode 2, Electrode 3, Electrode 4, Electrode 5, Electrode 6, Electrode 7, Electrode 8, Marker
1260,-3,43,12,1,-6,-1,-1,-13,0
1265,-12,-56,-8,11,6,7,16,-12,0
1270,-32,29,0,-21,-6,-2,-37,15,0
1275,71,-30,-22,-6,-4,-2,8,10,0
1280,-29,-26,-3,4,3,6,-25,-17,0
1285,-21,7,-5,-10,-10,-7,2,-38,0
1290,-20,-5,-9,-1,3,1,-21,-15,0
1295,-2,4,-3,-3,2,6,54,13,0
1300,8,29,4,-1,-10,-30,-124,23,0
1305,14,11,15,5,1,27,75,-43,0
1310,7,-12,-3,-5,-14,-3,70,17,0
1315,-12,-17,-21,-14,-8,-28,-83,25,0
1320,24,21,16,15,8,2,2,-3,0
1325,-6,8,9,6,7,15,-37,14,0
1330,6,-7,2,10,7,-13,-37,-13,0
1335,-8,-13,-4,-7,-22,-4,-13,-33,0
1340,-28,-11,-12,-2,33,16,8,-9,0
1345,19,4,-2,-2,-8,-20,-33,15,0
1350,2,3,3,1,-7,-23,-42,-16,0
1355,-11,18,6,2,19,21,-23,-8,0
1360,15,-17,-6,-12,-35,-9,15,23,0
1365,-4,6,-5,-8,11,5,32,1,0
1370,6,-32,0,17,8,1,10,3,0
1375,-2,27,6,-8,-5,1,14,-4,0
1380,-5,1,-12,-13,-15,-17,-51,6,0
1385,-12,-2,17,13,18,16,25,-1,0
1390,38,18,-3,-12,-2,5,42,9,0
1395,-20,-23,-26,-17,-28,7,90,-6,0
1400,22,-1,10,6,10,5,6,29,0
1405,-14,14,13,1,-5,3,13,-29,0
1410,-19,-23,-10,-3,1,7,-18,-2,0
1415,17,30,8,1,7,-3,6,4,0
1420,6,4,-3,-5,-1,15,35,18,0
1425,1,1,12,9,7,7,-7,-9,0
1430,-12,-22,-16,-12,-13,-9,-9,-13,0
1435,-1,12,29,32,16,-4,-22,5,0
1440,-18,-18,-19,-1,7,5,-2,-19,0
1445,-3,-7,-21,-27,-26,-13,-9,15,0
1450,2,12,0,-5,11,-2,7,-1,0
1455,-16,-12,-9,-5,-17,-28,-70,-33,0
1460,21,12,7,8,24,0,17,14,0
1465,13,10,13,20,5,-4,14,11,0
1470,-6,8,-7,-15,-14,29,112,-23,0
1475,9,-20,-21,-18,-17,-57,-17,92,0
1480,37,55,27,6,-3,16,71,-12,0
1485,-16,-38,-15,-4,-2,-10,-7,33,0
1490,40,34,14,7,0,5,-20,-41,0
1495,-37,-27,-9,-1,5,22,7,-23,0
1500,-26,-43,-11,-15,-8,2,28,-40,0
1505,2,-3,-13,-10,-10,-29,-50,74,0
1510,-29,-6,1,10,1,-18,-62,11,0
1515,26,16,14,6,13,34,103,-4,0
1520,-33,-16,-20,-22,-29,-42,-29,10,0
1525,15,12,12,13,22,9,-25,-36,0
1530,-6,-14,4,4,0,2,-4,-15,0
1535,-1,10,1,4,1,0,2,17,0
1540,-9,15,11,4,-3,4,9,-38,0
1545,39,-9,-14,-11,2,42,121,-8,0
1550,-4,9,-24,-21,-25,-61,-51,66,0
1555,28,6,26,7,7,47,99,-10,0
1560,-22,-21,-17,-12,-21,-54,-17,112,0
1565,-18,-13,1,7,-4,9,83,-47,0
1570,7,-7,3,11,32,0,-27,-12,0
1575,-16,-21,-6,-6,2,14,29,-30,0
1580,-23,-7,-3,3,-3,0,-41,-25,0
1585,-1,37,9,-7,0,-4,-46,12,0
1590,23,-15,-21,-10,-7,12,9,-8,0
1595,14,13,-3,-2,0,-10,-60,12,0
1600,-18,-12,0,2,6,0,-34,-21,0
1605,16,39,11,8,6,9,-21,-9,0
1610,-13,-11,7,8,2,15,18,-11,0
1615,4,10,-4,-12,-11,-16,-59,-3,0
1620,10,14,10,2,8,41,71,-40,0
1625,-16,-37,-27,-13,-13,-29,12,63,0
1630,-3,19,18,15,7,-3,40,28,0
1635,7,-7,1,10,-2,3,90,-18,0
1640,-28,-31,-22,-15,-14,-31,-116,-15,0
1645,-23,-19,-2,-2,-11,-15,12,-34,0
1650,17,2,8,3,12,21,11,6,0
1655,-12,6,6,8,4,-5,-28,-8,0
1660,12,21,9,5,9,14,-1,-22,0
1665,13,-1,0,5,1,-6,-13,3,0
1670,-30,-22,-15,1,-7,-6,-25,1,0
1675,-11,-3,8,-19,-8,-2,-25,-8,0
1680,16,8,14,1,0,6,4,-1,0
1685,14,7,6,0,3,0,-35,-18,0
1690,-7,15,10,4,-3,-2,-10,-10,0
1695,-20,-26,-16,-1,4,1,-25,-9,0
1700,10,16,-2,-2,1,5,18,12,0
1705,10,-3,21,7,4,-6,-10,-6,0
1710,13,35,10,-3,-6,1,21,-15,0
1715,-23,-7,-12,-10,-10,-26,-26,-6,0
1720,16,4,-5,-1,7,-3,6,24,0
1725,-4,10,-5,-3,-1,-2,-24,-26,0
1730,9,-5,17,13,5,12,30,4,0
1735,4,-12,-7,-4,-8,1,1,25,0
1740,12,9,13,7,10,9,15,-3,0
1745,-26,-5,-4,-1,-14,-7,-4,6,0
1750,-6,-29,-18,-20,-10,-5,-15,-8,0
1755,-4,7,4,6,2,1,-20,-18,0
1760,9,13,6,11,5,-4,-17,1,0
1765,-26,-49,-27,-16,-1,8,26,-7,0
1770,-7,7,-3,-5,-11,-17,-26,-6,0
1775,18,16,10,6,7,8,21,12,0
1780,-19,11,-5,-4,1,-1,-13,-9,0
1785,-4,-25,-24,-3,2,5,12,-3,0
1790,-14,-24,-5,-4,-9,-8,-29,-5,0
