Timestamp, Angle x, Angle y, Angle z, Marker
8640,-0.572858,0.646051,-2.86376,0
8660,-0.57372,0.646079,-2.86389,0
8680,-0.57372,0.646079,-2.86389,0
8700,-0.57372,0.646079,-2.86389,0
8720,-0.57368,0.646038,-2.86384,0
8740,-0.573845,0.646071,-2.86391,0
8760,-0.573845,0.646071,-2.86391,0
8780,-0.574434,0.645891,-2.86403,0
8800,-0.575079,0.646115,-2.86388,0
8820,-0.575724,0.646341,-2.86373,0
8840,-0.57584,0.646515,-2.86325,0
8860,-0.575823,0.646698,-2.86316,0
8880,-0.575817,0.64661,-2.86325,0
8900,-0.575833,0.646746,-2.8633,0
8920,-0.575833,0.646746,-2.8633,0
8940,-0.575999,0.646779,-2.86336,0
8960,-0.575833,0.646746,-2.8633,0
8980,-0.575799,0.646793,-2.86317,0
9000,-0.575999,0.646779,-2.86336,0
9020,-0.575965,0.646826,-2.86323,0
9040,-0.575999,0.646779,-2.86336,0
9060,-0.575999,0.646779,-2.86336,0
9080,-0.576181,0.646948,-2.86347,0
9100,-0.576141,0.646907,-2.86343,0
9120,-0.576181,0.646948,-2.86347,0
9140,-0.576141,0.646907,-2.86343,0
9160,-0.576141,0.646907,-2.86343,0
9180,-0.576141,0.646907,-2.86343,0
9200,-0.576141,0.646907,-2.86343,0
9220,-0.576141,0.646907,-2.86343,0
9240,-0.576141,0.646907,-2.86343,0
9260,-0.576157,0.647043,-2.86347,0
9280,-0.576165,0.647041,-2.86306,0
9300,-0.576006,0.647326,-2.86254,0
9320,-0.575813,0.647658,-2.86189,0
9340,-0.575598,0.647766,-2.86128,0
9360,-0.575598,0.647766,-2.86128,0
9380,-0.575598,0.647766,-2.86128,0
9400,-0.575448,0.647869,-2.86126,0
9420,-0.575414,0.647916,-2.86113,0
9440,-0.575614,0.647902,-2.86132,0
9460,-0.574775,0.648007,-2.86083,0
9480,-0.574201,0.648323,-2.86075,0
9500,-0.574201,0.648323,-2.86075,0
9520,-0.574201,0.648323,-2.86075,0
9540,-0.574201,0.648323,-2.86075,0
9560,-0.574201,0.648323,-2.86075,0
9580,-0.574201,0.648323,-2.86075,0
9600,-0.574201,0.648323,-2.86075,0
9620,-0.574201,0.648323,-2.86075,0
9640,-0.574201,0.648323,-2.86075,0
9660,-0.574201,0.648323,-2.86075,0
9680,-0.574201,0.648323,-2.86075,0
9700,-0.574161,0.648282,-2.8607,0
9720,-0.574161,0.648282,-2.8607,0
9740,-0.574178,0.648418,-2.86075,0
9760,-0.574178,0.648418,-2.86075,0
9780,-0.574178,0.648418,-2.86075,0
9800,-0.574343,0.648451,-2.86081,0
9820,-0.573744,0.648264,-2.86059,0
9840,-0.573744,0.648264,-2.86059,0
9860,-0.573744,0.648264,-2.86059,0
9880,-0.573744,0.648264,-2.86059,0
9900,-0.573761,0.6484,-2.86064,0
9920,-0.573761,0.6484,-2.86064,0
9940,-0.573761,0.6484,-2.86064,0
9960,-0.573744,0.648264,-2.86059,0
9980,-0.573744,0.648264,-2.86059,0
10000,-0.573744,0.648264,-2.86059,0
10020,-0.573721,0.648359,-2.8606,0
10040,-0.573721,0.648359,-2.8606,0
10060,-0.573721,0.648359,-2.8606,0
10080,-0.573721,0.648359,-2.8606,0
10100,-0.573886,0.648392,-2.86066,0
10120,-0.573886,0.648392,-2.86066,0
10140,-0.573886,0.648392,-2.86066,0
10160,-0.573903,0.648528,-2.86071,0
10180,-0.573903,0.648528,-2.86071,0
10200,-0.573903,0.648528,-2.86071,0
10220,-0.574144,0.648465,-2.86062,0
10240,-0.574144,0.648465,-2.86062,0
10260,-0.574144,0.648465,-2.86062,0
10280,-0.574144,0.648465,-2.86062,0
10300,-0.574144,0.648465,-2.86062,0
10320,-0.574144,0.648465,-2.86062,0
10340,-0.574144,0.648465,-2.86062,0
10360,-0.574899,0.648319,-2.86081,0
10370,-0.575521,0.648411,-2.86103,0
10390,-0.575928,0.648381,-2.861,0
10410,-0.575928,0.648381,-2.861,0
10430,-0.575928,0.648381,-2.861,0
10450,-0.575904,0.648477,-2.861,0
10470,-0.575904,0.648477,-2.861,0
10490,-0.575904,0.648477,-2.861,0
10510,-0.575888,0.648341,-2.86096,0
